year,applied,admitted,enrolled,est_fte,grad_rate_150,acceptance_rate,yield_rate
2001,4536,1080,452,,91.0,23.8,41.9
2002,4505,1114,458,,89.8,24.7,41.1
2003,4719,1154,467,1610.0,87.8,24.5,40.5
2004,4853,1186,471,1648.0,93.4,24.4,39.7
2005,5026,1232,478,1666.0,91.9,24.5,38.8
2006,5401,1165,474,1714.0,86.0,21.6,40.7
2007,5961,1130,476,1706.0,86.5,19.0,42.1
2008,6033,1119,489,1705.0,93.6,18.5,43.7
2009,5940,1153,494,1749.0,91.5,19.4,42.8
2010,6018,1183,510,1767.0,92.2,19.7,43.1
2011,6554,1056,484,1788.0,95.7,16.1,45.8
2012,6716,1060,492,1809.0,92.8,15.8,46.4
2013,7052,1054,497,1807.0,97.4,14.9,47.2
2014,6935,1034,503,1788.0,92.9,14.9,48.6
2015,6790,1010,500,1798.0,94.4,14.9,49.5
2016,6799,1009,503,1790.0,97.1,14.8,49.9
2017,7251,988,501,1806.0,96.8,13.6,50.7
2018,9081,932,510,1810.0,96.8,10.3,54.7
2019,9332,845,499,1804.0,96.3,9.1,59.1
2020,9402,861,464,1756.0,95.2,9.2,53.9
2021,9325,822,517,1876.0,94.7,8.8,62.9
2022,9376,862,508,,97.2,9.2,58.9
