year,applied,admitted,enrolled,acceptance_rate,yield_rate,grad_rate_150
2002,4505,1114,458,24.73,41.11,
2003,4719,1154,467,24.45,40.47,
2004,4853,1186,471,24.44,39.71,
2005,5026,1232,478,24.51,38.8,
2006,5401,1165,474,21.57,40.69,
2007,5961,1130,476,18.96,42.12,
2008,6033,1119,489,18.55,43.7,
2009,5940,1153,494,19.41,42.84,
2010,6018,1183,510,19.66,43.11,
2011,6554,1056,484,16.11,45.83,
2012,6716,1060,492,15.78,46.42,
2013,7052,1054,497,14.95,47.15,
2014,6935,1034,503,14.91,48.65,
2015,6790,1010,500,14.87,49.5,
2016,6799,1009,503,14.84,49.85,
2017,7251,988,501,13.63,50.71,
2018,9081,932,510,10.26,54.72,
2019,9332,845,499,9.05,59.05,
2020,9402,861,464,9.16,53.89,
2021,9325,822,517,8.82,62.9,
2022,9376,862,508,9.19,58.93,
