year,avg_applied,avg_admitted,avg_enrolled,avg_acceptance_rate,avg_yield_rate,avg_grad_rate_150,n_institutions
2002,3986.25,1235.35,496.5,32.958,40.34349999999999,,20
2003,4202.65,1261.05,481.65,31.90300000000001,38.2565,,20
2004,4381.2,1269.3,486.1,30.891,38.3745,,20
2005,4545.55,1276.95,491.35,29.38649999999999,38.5715,,20
2006,4648.25,1293.5,485.75,29.563500000000005,37.545,,20
2007,4885.05,1278.9,484.25,27.485000000000003,38.0805,,20
2008,5436.25,1311.65,496.0,25.747000000000003,38.051,,20
2009,5289.45,1318.05,494.75,26.210499999999996,37.8715,,20
2010,5537.45,1326.4,501.25,25.776,38.161,,20
2011,5907.55,1311.0,502.45,23.839,38.855999999999995,,20
2012,6046.35,1313.55,503.95,22.771500000000003,38.88350000000001,,20
2013,6189.75,1289.05,503.5,21.8375,39.8275,,20
2014,6197.6,1307.85,504.45,21.737000000000002,39.73950000000001,,20
2015,6728.5,1328.55,507.0,20.335500000000003,39.336000000000006,,20
2016,6937.3,1301.35,510.25,19.403,40.887,,20
2017,7373.65,1287.95,512.65,18.337,41.161500000000004,,20
2018,8127.1,1312.0,521.65,16.855,41.558499999999995,,20
2019,8624.7,1274.6,515.6,15.583000000000002,42.57899999999999,,20
2020,8294.45,1364.6,483.2,17.541,37.34150000000001,,20
2021,9739.75,1274.95,561.2,13.882,46.25150000000001,,20
2022,10454.1,1217.45,528.85,12.402,45.1965,,20
